LINE        SOURCE  err
O2_3726A 7.782500e-14 0.07
H1r_4102A 6.077500e-15 0.06
H1r_4341A 1.141250e-14 0.05
He1r_4471A 9.075000e-16 0.07
H1r_4861A 2.750000e-14 0.04
O3_4959A 1.045000e-14 0.05
O3_5007A 3.124000e-14 0.05
N1_5200A 6.600000e-16 0.08
N2_5755A 3.575000e-16 0.08
he1r_5876A 2.915000e-15 0.06
N2_6548A 8.690000e-15 0.06
H1r_6563A 7.837500e-14 0.06
N2_6584A 2.530000e-14 0.06
He1r_6678A 7.150000e-16 0.07
S2_6716A 1.221000e-14 0.07
S2_6731A 9.405000e-15 0.07
He1r_7065A 1.540000e-15 0.07
Ar3_7136A 1.760000e-15 0.07
